business_name,category,city,state,address,phone,google_maps_url,notes
Clark Auto Body & Frame,Auto body shop,Hannibal,MO,"3522 Market St, Hannibal, MO 63401",(573) 221-5505,https://www.google.com/maps/search/?api=1&query=Clark+Auto+Body+%26+Frame+3522+Market+St+Hannibal+MO,"Independent collision/frame shop. MapQuest listing has phone and address but no Website button (unlike nearby Hannibal shops that do). Multiple directories (Yellow Pages Directory, missouri.repair-auto.org) list website as unknown/absent. Web search found no official .com/.net. Google Maps search URL constructed from name+address; GBP website field could not be opened directly (Maps is JS-only without API)."
Miller Plumbing,Plumber,Hannibal,MO,"10076 Old 79, Hannibal, MO 63401",(573) 221-6913,https://www.google.com/maps/place/?q=place_id:ChIJe9r33snn3YcRg2sd4cVEWvI,Strongest Hannibal confirmation: Google Place ID ChIJe9r33snn3YcRg2sd4cVEWvI (OpenGovNY Google Places dump). Birdeye aggregates 7 Google reviews and no other site. Yellow Pages lists it with phone/address. Web search found no official company site (other Miller Plumbing .coms are different cities). Some 2026 Yelp snippets say closed; included because GBP/Place ID still exists. Could not click the Maps website button without API.
Auto Beauty Shop (listed on review aggregators as The Beauty Shop),Auto body shop,Selma,AL,"2001 AL Highway 14 E, Selma, AL 36703",(334) 872-2248,https://www.google.com/maps/search/?api=1&query=Auto+Beauty+Shop+2001+Al+Highway+14+E+Selma+AL,Birdeye profile shows 25 Google reviews (plus Facebook/Insider Pages) and no company website. MapQuest listing has Call but no Website button. Yellow Pages listing exists. Web search found no official .com/.net. Name on Google/Birdeye sometimes appears as The Beauty Shop; same address/category.
Bolden's Paint & Body (also listed as Bolden's Auto Services),Auto body shop,Selma,AL,"600 Roosevelt St, Selma, AL 36701",(334) 875-3326,https://www.google.com/maps/search/?api=1&query=Bolden%27s+Paint+%26+Body+600+Roosevelt+St+Selma+AL,MapQuest listing has phone/address and no Website button. Loc8NearMe/LocalityBiz show Google-style hours and customer reviews. Yellow Pages listing. Web search found no official company website. Facebook-only presence would still count as no company website.
Frank Milhouse Auto Repair,Auto repair,Selma,AL,"218 Cahaba Rd, Selma, AL 36701",(334) 419-4155,https://www.google.com/maps/search/?api=1&query=Frank+Milhouse+Auto+Repair+218+Cahaba+Rd+Selma+AL,"MapQuest listing (Infogroup/Foursquare) has address and no Website button. Yellow Pages and automobile101 directory listings with no site. Web search found no official .com/.net. Independent, not a chain."
Johnson Paint & Body Shop,Auto body shop,Selma,AL,"1814 Selma Ave, Selma, AL 36703",(334) 872-6332,https://www.google.com/maps/search/?api=1&query=Johnson+Paint+%26+Body+Shop+1814+Selma+Ave+Selma+AL,Loc8NearMe listing (Google-sourced hours/reviews/photos pattern) has no website field. Yellow Pages listing. Web search found no official company site. Recent 2024-2025 reviews indicate it is still operating.
Turner Body Frame & Paint Work,Auto body shop,Selma,AL,"1800 AL Highway 14 E, Selma, AL 36703",(334) 872-6201,https://www.google.com/maps/search/?api=1&query=Turner+Body+Frame+%26+Paint+Work+1800+Al+Highway+14+E+Selma+AL,Yellow Pages listing notably had no Website button while neighboring Selma shops did. Directories list phone/address only. Web search found no official website. Maps listing inferred from name+address search URL and YP/Maps-adjacent directories; GBP panel not opened.
Jerry's Automotive Service,Auto repair,Astoria,OR,"1248 Marine Dr, Astoria, OR 97103",(503) 325-9166,https://www.google.com/maps/search/?api=1&query=Jerry%27s+Automotive+Service+1248+Marine+Dr+Astoria+OR,"Yelp business page exists (jerrys-automotive-service-astoria) with map pin at 1248 Marine Dr; snippet showed phone/address/hours and no website link (contrast with Hannibal shops whose Yelp pages do show a site). Yellow Pages and Hubbiz listings have no official URL. Web search found no Astoria company .com (jerrysservicecenterne.com is Norfolk, NE). Independent shop."
"Neal Baeten Autobody, Inc.",Auto body shop,Astoria,OR,"92094 Youngs River Rd, Astoria, OR 97103",(503) 325-4172,https://www.google.com/maps/search/?api=1&query=Neal+Baeten+Autobody+92094+Youngs+River+Rd+Astoria+OR,"Listed on Astoria/Old Oregon chamber directory with hours and services, no company website. Yellow Pages listing. Web search found no official .com/.net. Collision shop, locally owned since ~1994. Maps URL is name+address search."
Bob's Auto Repair,Auto repair,Bar Harbor,ME,"135 Old Norway Dr, Bar Harbor, ME 04609",(207) 288-9344,https://www.google.com/maps/search/?api=1&query=Bob%27s+Auto+Repair+135+Old+Norway+Dr+Bar+Harbor+ME,"Yellow Pages listing with street address. Job board and business directories list owner Robert Davis Jr and a second shop at 32A Holland Ave; no company website in any result (web site unknown on maine.auto-us.org for related downtown listing). Not to be confused with Bar Harbor Auto Stop, which is linked to barharborinfo.com (chamber/directory, not a shop site). Independent."
